NAME|TYPE|START_YEAR|END_YEAR|DESCRIPTION
Flying Eagle|Small Cent|1856|1858|The Act of February 21, 1857, provided for the coinage of the new copper-nickel small cent. The 1856 Flying Eagle cent was not an authorized Mint issue, as the law governing the new-size coin was enacted after the date of issue. It is believed that nearly 1,000 original strikings and 1,500 or more restrikes were made of the 1856. They are properly referred to as patterns.

Indian Head|Small Cent|1859|1909|The small cent was redesigned in 1858, and a representation of Miss Liberty wearing an Indian war bonnet was adopted as the obverse device. The 1859 reverse was also changed to represent a laurel wreath. In 1860 the reverse was modified to display an oak wreath with a small shield at the top. From 1859 to 1864, cents were struck in copper-nickel. In 1864, the composition was changed to bronze, although copper-nickel cents were also struck during that year.

Lincoln, Wheat Ears Reverse|Small Cent|1909|1958|Victor D!! Brenner designed this cent, which was issued to commemorate the 100th anniversary of Abraham Lincoln's birth. The designer's initials (V!!D!!B!!) appear on the reverse of a limited quantity of cents of 1909. Later in the year they were removed from the dies but restored in 1918 as very small incuse letters beneath the shoulder. The Lincoln type was the first cent to have the motto IN GOD WE TRUST.

Lincoln, Memorial Reverse|Small Cent|1959|2008|The Lincoln cent or Lincoln penny is a cent coin (or penny) (1/100 of a dollar) that has been struck by the United States Mint since 1909. The obverse or heads side was designed by Victor David Brenner, as was the original reverse. The coin has seen several reverse, or tails, designs and now bears one by Lyndall Bass depicting a Union shield.^^^^In 1905, sculptor Augustus Saint-Gaudens was hired by the Mint to redesign the cent and the four gold coins, which did not require congressional approval. Two of Saint-Gaudens's proposed designs for the cent were eventually adapted for the gold pieces, but Saint-Gaudens died in August 1907 before submitting additional designs for the cent. In January 1909, the Mint engaged Brenner to design a cent depicting the late President Abraham Lincoln, 1909 being the centennial year of his birth. Brenner's design was eventually approved, and the new coins were issued to great public interest on August 2, 1909.^^^^Brenner's initials (VDB), on the reverse at its base, were deemed too prominent once the coins were issued, and were removed within days of the release. The coins that were released bearing the initials VDB are the rarest of any of the Lincoln cents and fetch a high price among coin collectors. The initials were restored, this time smaller, on Lincoln's shoulder, in 1918. Brenner's reverse was replaced in 1959 by a depiction of the Lincoln Memorial designed by Frank Gasparro, for the sesquicentennial of his birth year. The Lincoln Memorial reverse was itself replaced in 2009 by commemorative designs marking the bicentennial of Lincoln's birth. Beginning in 2010, Bass's shield design was coined. Originally struck in 95% copper, the penny coin was changed for one year to steel in 1943 as copper was needed to aid in the war effort. The mint then reverted to 95% copper until 1982, when inflation made copper too expensive and the composition was changed to zinc with an outer copper layer.

Lincoln, Bicentennial|Small Cent|2009|2009|One-cent coins issued during 2009 are a unique tribute to President Abraham Lincoln, recognizing the bicentennial of his birth and the 100th anniversary of the first issuance of the Lincoln cent. These coins use four different design themes on the reverse to represent the four major aspects of President Lincoln's life. The obverse of each of these coins carries the traditional portrait of Lincoln that has been in use since 1909.^^^^The special reverse designs, released as quarterly issues throughout 2009, are described as: Birth and Early Childhood in Kentucky (designer, Richard Masters; sculptor; Jim Licaretz); Formative Years in Indiana (designer and sculptor, Charles Vickers); Professional Life in Illinois (designer, Joel Iskowitz; sculptor, Don Everhart); and Presidency in Washington (designer, Susan Gamble; sculptor, Joseph Menna). Those issued for commercial circulation are made of the exact same copper-plated composition used since 1982. Special versions included in collector sets are made of the same metallic composition as was used for the original 1909 cents (95% copper, 5% tin and zinc).

Lincoln, Shield Reverse|Small Cent|2010|0|At the conclusion of the 2009 Bicentennial One-Cent Program, future one-cent coins feature a reverse that has \"an image emblematic of President Lincoln's preservation of the United States of America as a single and united country.\" 


Flowing Hair|Large Cent|1793|1793|Henry Voight's design was almost universally criticized in its time for its unattractiveness and perceived allusion to slavery. It bears the distinction, however, of being the first official coinage minted by the federal government on its own equipment and premises. 36,103 were minted. Its low survival rate on top of a small mintage, coupled with being the first regular federal issue and a one-year design and type, has created an extremely strong demand from generations of numismatists. As a result, all surviving specimens command high prices ranging from $2,000-$3,000 in the absolute lowest state of preservation to over $500,000 in the highest.^^^^The Mint caved to the intense ridicule later in 1793, and Mint Director David Rittenhouse ordered Adam Eckfeldt to revise the obverse and reverse designs. Liberty's bust was redesigned with even longer, wilder hair, and the chain was removed from the reverse in favor of a wreath. Scholars are undecided as to what plant or plants are depicted in the wreath, with several varieties extant. Total mintage of the wreath reverse numbered about 63,000 pieces.

Liberty Cap|Large Cent|1793|1796|Rittenhouse was dissatisfied with Eckfeldt's designs, and with the criticism of the Chain cents fresh in his mind, he hired Joseph Wright to do yet another redesign in the denomination's troubled first year. Wright's design faced Liberty to the right and \"tamed\" her wild hair. The cap was added as an ancient symbol of freedom. The reverse design was revised to a recognizable laurel wreath, and future Chief Engraver Robert Scot had a hand in several minor revisions to the design over the next three years.^^^^This design was more successful and it was continued into 1796. In 1795, planchets became too thin for the edge lettering because of a weight reduction, so the mint stopped edge lettering on the cent, and the rest of these coins were made with a plain edge. Four coins from 1795 are known to have a reeded edge.

Draped Bust|Large Cent|1796|1807|Robert Scot redesigned the whole of United States coinage for 1796, applying a new design featuring a bust of Liberty wearing a drapery at the neckline and a ribbon in her flowing hair. The reverse design now featured an olive wreath. As with earlier types, several minor revisions to the design were made in the first few years, with the final 1797 design lasting through the end of the type in 1807.

Classic Head|Large Cent|1808|1814|John Reich, assistant to Chief Engraver Scot, was appointed by new Mint Director Robert Patterson to redesign Scot's Draped Bust cent (along with every other circulating coin design). The so-called \"Classic Head\" derives its name from the fillet worn by Liberty on the obverse, though the fillet was worn only by male athletes in ancient Greece. The copper used during the years in which Classic Head cents were minted was of a higher quality, containing less metallic impurity. Consequently, they were softer and more prone to wear and corrode more quickly than issues before or after. As a result, unimpaired, high-grade specimens are especially difficult to obtain and fetch strong premiums when they appear on market, especially with original red or red-brown mint luster.

Liberty Head|Large Cent|1816|1857|As a response to public criticism of the Classic Head, the Mint assigned Chief Engraver Scot to redesign the cent in 1816. This newest design enlarged the obverse portrait, giving Liberty a much more mature look (leading to the Matron Head reference), and surrounded the portrait with stars along the outer edge of the coin. The \"Matron head\" design was modified in 1835 to give Liberty a younger look and matron head cents continued to be made until 1839.^^^^Facing more negative public reaction, the Coronet cents were redesigned in 1835 by new Chief Engraver Christian Gobrecht. This last major change to the coin updated the obverse by giving Liberty a slimmer, more youthful appearance. Minor tweaks continued through 1843, and the 1843 design prevailed through the end of mintage in 1857. Some 11 years after the large cent was discontinued, a mint employee coined several large cents dated 1868, almost certainly for sale as instant rarities to numismatists. Fewer than a dozen of these unofficial issues, struck in both bronze and copper-nickel, are known to survive.


Liberty Cap|Half Cent|1793|1797|The half cent is the lowest denomination that the United States government has ever struck for circulation. It was introduced with the Liberty Cap Half Cent type in 1793. The coins were struck in two different subtypes with Liberty facing left or right. The final coins of the series were dated 1797, although coins bearing this date would be struck as 1800 when the next design was introduced. This was a common practice at the Mint during this era.^^^^The obverse design of the coins features an image of Liberty with hair unbound and flowing. For the earliest coins she faces left and on later coins she faces right. Behind Liberty a cap on top of a staff is pictured. The reverse design features a wreath of laurel leaves with a bow at the base. The denomination \"Half Cent\" appears within the wreath and the fraction \"1/200\" appears below.^^^^All Liberty Cap Half Cents are scarce, with the majority of the known examples in lower grades. High grade examples are occasionally available, but are often priced relatively high due to the demand from type set collectors and specialists.

Draped Bust|Half Cent|1800|1808|A new design was introduced for the smallest denomination of the United States with the Draped Bust Half Cent. The coins were minted from 1800 to 1808, but were not produced during 1801. The series represents the first type of early copper coins that, for some dates, is somewhat easily acquired in higher grades.^^^^Most specifically, these would be About Uncirculated examples of some of the most common dates. Mint State examples with original surfaces, like all early coppers, are scarce, and some dates warrant a heavy premium due to their rarity. Other varieties, identified in the red book, are very rare as well and seldom appear on the market. A simple date set, regardless of varieties, in lower circulated grades is not too difficult to complete, but finding original examples without corrosion will be difficult in those grades.^^^^The Draped Bust Half Cent was designed by Robert Scot. The same basic obverse design had already been in use for the other non-gold denominations circulating at the time. Liberty is depicted with her hair tied in a ribbon and folds of drapery across her bust. The reverse design was altered from the appearance on the first half cent series by changing the arrangement of leaves in the laurel wreath.

Classic Head|Half Cent|1809|1836|The Classic Head Half Cent was issued for a longer duration of years than the previous designs for the denomination, although several gaps in production reduce the scope of the series. The obverse design of the coin features a rendition of Liberty with rolling curls of hair and a hair band with the inscription \"Liberty\". The reverse design features an alteration of the precious laurel wreath design, with the wreath fully closed and the denomination at center.^^^^The new half cent design was introduced in 1809, after being released on the large cent the year earlier. Although the design would be struck until the mid 1830s, the total series only includes only thirteen different dates. From 1812 to 1824 and again in 1827 and 1830 no half cents were struck for circulation. It is believed that 1831 saw a very limited number of coins struck for circulation, but the debate continues as to whether all pieces produced were proofs. The series ended in 1835, with the 1836 Classic Head Half Cent being a proof-only date and a heralded rarity.^^^^The Classic Head Half Cent series contains a relatively small number of dates, with a limited number of dies used for each date, but many of these are very interesting and a worth a closer look. This site will provide coin collectors with a basic history of the Classic Head Half Cent series, information about the coin design, and details about some of the notable issues and rarities of series.

Braided Hair|Half Cent|1840|1857|The Braided Hair half cent was the first U!!S!! half cent to be struck since the end of the Classic Head half cent in 1836. The design of the Braided Hair half cent was identical to that of its big sibling, the Braided Hair large cent of 1840-57. It was designed by Christian Gobrecht.^^^^The Braided Hair half cent is actually a great deal scarcer than the earlier Classic Head half cent AND Draped Hair half cent. In fact, it actually rivals the Liberty Cap half cent in terms of mintage scarcity. From 1849 through 1857, only two dates, 1851 and 1853, have mintages above 56,000! Even so, the \"common\" 1851 and 1853 dates have mintages of only 147,672 and 129,694 respectively!

World's Columbian Exposition Half Dollar|Classic Commemoratives|1892|1893|As the first commemorative Half Dollar struck, the Columbian half holds a special place in the long and historic commemorative series. From the first proof striking that sold for $10,000 in 1892,(The first specimen struck was bought for $10,000 by the firm that made Remington typewriters, as a publicity stunt) and to the final 1893 business strike, Columbian Halves were popularly collected at the time and in the hundred years since.^^^^In August 1892 Congress specially authorized the coinage of 5 million half dollars for sale during the 1892 World’s Columbian Exposition to honor the 400th anniversary of Columbus “discovery” of the New World. This was the first of the great World’s Fairs to be honored with a commemorative coins. The first issue was dated 1892. The Exposition was scheduled to open in Chicago in October 1892, but did not open until May 1893, at which time additional coins bearing this new date were struck.^^^^The obverse features the bust right of Christopher Columbus. The coin was originally supposed to be made by U!!S!!J!! Dunbar. His design was based on a portrait painted by Lorenzo Lotto of Columbus in 1512. The U!!S!! Mint’s Chief Engraver at the time, Charles E!! Barber, derailed any attempt by Dunbar from producing the coin, and instead took on the project, basing his depiction of Columbus allegedly on a bust made by artist Olin L!! Warner.^^^^Barber clashed with Exposition officials over the reverse as well, favoring his own design of the Western Hemisphere covering the entire reverse. Exposition officials wanted a depiction of Columbus’ flag ship the Santa Maria poised over two globes. Seeking to absolve himself of the argument, Barber delegated the task to his Assistant Engraver, George T!! Morgan to design the reverse.^^^^By the time a further quantity had been coined in 1893, public demand for the commemorative had lessened. An unknown quantity of half-dollars were used as collateral against loans made to the Exposition by banks. When the Exposition failed to repay the debits, the banks dumped the coins into circulation.

World's Columbian Exposition - Isabella Quarter Dollar|Classic Commemoratives|1893|1893|The Isabella quarter or Columbian Exposition quarter was a United States commemorative coin struck in 1893. Congress authorized the piece at the request of the Board of Lady Managers of the World's Columbian Exposition. The quarter depicts Queen Isabella of Spain, who sponsored Columbus' voyages to the New World. It was designed by Bureau of the Mint Chief Engraver Charles E!! Barber, and is the only U!!S!! commemorative of that denomination that was not intended for circulation.^^^^The Board of Lady Managers, headed by Chicago socialite Bertha Palmer, wanted to have a woman design the coin and engaged Caroline Peddle, a sculptor. Peddle left the project after disagreements with Mint officials, who then decided to have Barber do the work. The reverse design, showing a kneeling woman winding flax, with a distaff in her left hand and a spindle in her right, symbolizes women's industry and was based on a sketch by Assistant Engraver George T!! Morgan.^^^^The quarter's design was deprecated in the numismatic press. The coins did not sell well at the Exposition; its price of $1 was the same as for the Columbian half dollar and the quarter was seen as the worse deal. Nearly half of the authorized issue was returned to the Mint to be melted; thousands more were purchased at face value by the Lady Managers and entered the coin market in the early 20th century. Today, they are popular with collectors and valued in the hundreds to thousands of dollars.

Lafayette Dollar|Classic Commemoratives|1900|1900|The 1900-dated Lafayette silver dollar represents the first United States commemorative coin of that denomination and the only silver dollar commemorative to be minted until decades later in the 1980s. Interestingly, from an official viewpoint the “1900” designation appearing on the Lafayette dollar is not the official date of the coin. Indeed, apparently, the coin has no official date.^^^^In 1899 the Lafayette Memorial Commission sought to raise funds to erect in Paris in 1900 (in connection with the Universal Exposition to be held there) a statue of General Lafayette on horseback, to be sculpted by Paul Wayland Bartlett. This was to be a gift of the American people to honor the Frenchman who in 1777, when he was not quite 20 years old, risked his life and fortune when he paid for French troops to come with him to America to aid the colonists. Although he was wounded in the Battle of Brandywine, Lafayette, who received the designation major general, served until the end of the war. In 1824 the French hero of the American Revolution visited the United States once again, was given a grand welcome, toured all 24 states, and was designated by Congress as “the nation’s guest.” The relationship between America and France has been close ever since that time, as evidenced, among other things, by France’s gift to America of the Statue of Liberty, dedicated in 1886.^^^^In early 1899 the Commission petitioned Congress for an appropriation to coin 100,000 commemorative half dollars. By the time the legislation was approved on March 3, 1899, the authorization was for 50,000 silver one-dollar pieces, to be known as Lafayette dollars, to bear designs selected by the director of the Mint, with the approval of the secretary of the Treasury. The Treasury was authorized to purchase in the open market $25,000 worth of silver bullion or as much as might be needed to coin such pieces. Subsequently the quantity of 38,675.875 ounces of fine silver was purchased for $23,032!!80, making possible the striking of 50,000 coins per the legislation, plus an additional 26 pieces for the assay. It was intended that the coins be sold for $2 each to the public.^^^^The die work for the Lafayette dollar was accomplished by Chief Engraver Charles E!! Barber, who, according to conventional history, took the portrait of Washington from the famous bust by Jean Antoine Houdon (the same portrait that was to be utilized years later by John Flanagan when the 1932 Washington quarter dollar was created). Lafayette’s portrait, which appears behind and slightly forward of Washington’s, was said to have been taken from an 1824 “Defender of American and French Liberty” medal made in France by François Augustin Caunois.^^^^However, as historian Arlie Slabaugh has pointed out, the conjoined portraits of Washington and Lafayette on the obverse of the 1900 commemorative dollar were almost certainly plagiarized by Barber from the obverse of the Yorktown Centennial medal of 1881, made from dies engraved by Peter L!! Krider. Stated more kindly, the Yorktown medal was an intermediary between the commemorative dollar and the earlier work of Houdon and Caunois. The shadow relief of Barber’s work is but a travesty of Krider’s extremely detailed high-relief artistry.


Sommer Islands (Bermuda)|British New World Issues|1616|1616|This coinage, was issued around 1616, was the first struck for England's colonies in the New World. The coins were known as \"Hogge Money\" or \"Hoggies.\"^^^^The pieces were made of copper lightly silvered, in four denominations: shilling, six-pence, threepence, and twopence, indicated by Roman numerals. The hog is the main device and appears on the obverse side of each. SOMMER ISLANDS is inscribed within beaded circles. The reverse shows a full-rigged galleon with the flag of St!! George on each of four masts.
